Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Stewardship Services (Uket),,Accountancy / financial advisory,EC1Y 8AB,"1 LAMB'S PASSAGE, LONDON",01/10/1906,GROUP,69109 - Activities of patent and copyright agents; other legal activities n.e.c. | 69201 - Accounting and auditing activities | 94910 - Activities of religious organizations,Old St - Moreland Primary School,14,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 14-min walk from Stewardship Services (Uket). Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",282,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 14 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stewardship Services (Uket) who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stifel Europe Holdings,,Financial institution,EC2V 6ET,"150 CHEAPSIDE, LONDON",14/02/2002,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Stifel Europe Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",260,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stifel Europe Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stifel Europe,,Financial institution,EC2V 6ET,"150 CHEAPSIDE, LONDON",16/03/1995,FULL,66120 - Security and commodity contracts dealing activities,Borough Academy,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 23-min walk from Stifel Europe. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stifel Europe who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stockdale Street,,Financial institution,EC1N 6SA,"1 CHARTERHOUSE STREET, LONDON",09/07/2002,GROUP,64205 - Activities of financial services holding companies | 66300 - Fund management activities | 70221 - Financial management,Old St - Moreland Primary School,18,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 18-min walk from Stockdale Street. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 18 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stockdale Street who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Stonex Financial,,Financial institution,EC2Y 5ET,"MOOR HOUSE FIRST FLOOR, LONDON",09/11/2005,FULL,66120 - Security and commodity contracts dealing activities,Old St - Moreland Primary School,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 19-min walk from Stonex Financial. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",271,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Stonex Financial who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Strata Global,,Financial institution,EC2R 6AF,"BASILDON HOUSE 6TH FLOOR, LONDON",18/07/2011,MEDIUM,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,25,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Strata Global. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",268,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Strata Global who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sucden Financial,,Financial institution,EC3R 5AZ,"PLANTATION PLACE SOUTH 3RD FLOOR, LONDON",14/02/1973,FULL,64999 - Financial intermediation not elsewhere classified,Borough Academy,22,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 22-min walk from Sucden Financial. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",254,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 22 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sucden Financial who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Suecia Re & Marine Insurance Company,,Financial institution,EC4V 5AN,"SEB LONDON BRANCH, LONDON",24/08/1973,FULL,65120 - Non-life insurance,Borough Academy,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 19-min walk from Suecia Re & Marine Insurance Company. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Suecia Re & Marine Insurance Company who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sumitomo Corporation Europe Holding,,Financial institution,EC4V 3BJ,VINTNERS  PLACE,25/11/1996,FULL,64209 - Activities of other holding companies n.e.c.,Borough Academy,17,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 17-min walk from Sumitomo Corporation Europe Holding. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",273,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 17 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sumitomo Corporation Europe Holding who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Sushisamba Group,,Financial institution,EC2M 7PP,"UNCOMMON SUSHI SAMBA CORPORATE OFFICE, LONDON",11/03/2014,GROUP,64209 - Activities of other holding companies n.e.c.,Whitechapel,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 25-min walk from Sushisamba Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Sushisamba Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
